galaxy_id,log_baryonic_mass,parameter_A,parameter_alpha,v_obs_flat
ESO079-G014_rotmod.csv,10.820673205991868,50.17280218205536,0.48142583973414893,178.0
NGC1705_rotmod.csv,8.910028236983557,65.20372509735866,0.07502989707254491,71.5
NGC5005_rotmod.csv,11.303298547800324,228.4339200948839,0.07019526544362772,265.0
UGC04499_rotmod.csv,9.609397073915725,35.73200126891641,0.3799280598172861,74.3
UGC07577_rotmod.csv,7.944712583748465,11.454621429564442,0.7936623879921304,17.8
DDO161_rotmod.csv,9.473974730742864,23.720175800696612,0.43258118745611357,66.1
UGC07559_rotmod.csv,8.477065108358664,19.878705468332114,0.5806620527852048,32.1
NGC4389_rotmod.csv,10.39663447507056,33.771418553778716,0.7069686835991942,110.0
NGC5055_rotmod.csv,11.240054202253281,181.92901188990743,0.011426096497878669,172.0
NGC2915_rotmod.csv,9.197197870259053,51.21213058465787,0.2524690486780642,86.5
F565-V2_rotmod.csv,9.345909330017365,24.422457885992813,0.5859713492959183,83.1
UGC07399_rotmod.csv,9.362584623850795,65.22972335451004,0.28010638918521297,106.0
UGC03580_rotmod.csv,10.327448912693109,72.83775928190369,0.17969694898313687,124.0
NGC2403_rotmod.csv,10.254499128635674,79.5409596730106,0.20001324165375228,134.0
DDO161.csv,9.380973030302366,23.720175800696612,0.43258118745611357,66.1
NGC3769_rotmod.csv,10.439246561467952,101.96907711466172,0.053263446058939366,113.0
F574-1_rotmod.csv,10.000866327799738,43.4399445368652,0.36134686902117713,99.7
UGC06973_rotmod.csv,10.766220620210627,165.91219991212986,0.03031154190487372,180.0
NGC1090_rotmod.csv,10.99150485058029,91.16568142541709,0.20415077285785355,160.0
UGC08490_rotmod.csv,9.349370301508324,63.02230321957773,0.12206182085001926,77.6
UGC11557_rotmod.csv,10.257514035426803,27.84890166997866,0.5280826398035038,84.5
NGC6789_rotmod.csv,7.994089542067292,78.67402884255307,0.7793640050698233,60.4
ESO444-G084_rotmod.csv,8.463398816283517,39.99239591920128,0.36161205830456494,62.7
F561-1_rotmod.csv,9.869991403308434,24.406588570130445,0.35086615256554254,50.4
UGC08550_rotmod.csv,8.957847058202244,39.43215675722515,0.2508157230122592,57.5
UGC01230_rotmod.csv,10.334450718706464,60.04987176604889,0.19185440651108188,103.0
UGC11820_rotmod.csv,9.75336908356002,34.0304656192887,0.339166570898823,84.45
UGC06399_rotmod.csv,9.626558359272032,36.772299733529,0.4552417979004087,87.6
UGC02259_rotmod.csv,9.52889183470073,60.6012966817414,0.19919398748231046,90.0
UGC07524_rotmod.csv,9.820758508343372,32.51542031070225,0.4172408322769131,79.0
F568-3_rotmod.csv,10.214411344931557,35.223935818753134,0.44353889078213,120.0
UGC05716_rotmod.csv,9.453420723736583,41.758838441124134,0.24692345853352032,74.7
UGC05721_rotmod.csv,9.172260760389076,61.943027951350786,0.18867800461523052,79.5
NGC0055_rotmod.csv,10.03252717420118,34.84091944088028,0.3854402240348651,86.5
NGC1003_rotmod.csv,10.224340689988653,60.89554653710936,0.18863975667622496,115.0
UGC03546_rotmod.csv,11.040012736694838,236.36306664254292,-0.07035727198339582,193.0
UGC04483_rotmod.csv,7.760762734921835,23.866625668282353,0.47153077736563676,24.2
UGC07151_rotmod.csv,9.596698350040967,44.95799099908456,0.3365730191297909,76.2
UGC00191_rotmod.csv,9.69946100086184,44.891341458124074,0.301825212155717,83.85
NGC3741_rotmod.csv,8.501784269743096,24.94735519837001,0.39120525056861155,51.6
NGC0247_rotmod.csv,10.08337870533199,41.6923079998768,0.3675974689150045,107.0
F574-2_rotmod.csv,9.725904145842135,8.384500951321654,0.6668288783519389,40.0
F563-1_rotmod.csv,9.909185548657822,48.82088851320476,0.29759962897930003,106.0
NGC3726_rotmod.csv,10.936560451947463,103.96585173799784,0.14676460347764309,167.0
NGC5907_rotmod.csv,11.36695243401426,239.422675045002,-0.02461883644609896,214.0
NGC7331_rotmod.csv,11.456380599196855,254.3461106940069,-0.01897900059392493,238.0
NGC4217_rotmod.csv,10.96282052683101,110.08711419241888,0.21441599567950875,178.0
NGC0100_rotmod.csv,9.667149750124807,36.01636141261173,0.4338139540881417,91.2
NGC0891_rotmod.csv,11.202981468704381,221.38917304824943,-0.004388609506307813,208.0
NGC3198_rotmod.csv,10.795079003413708,83.48275273783247,0.18930447724835042,149.0
UGC06917_rotmod.csv,10.083746086764497,55.6277081970033,0.305604903901717,111.0
D512-2_rotmod.csv,8.6204912107396,25.34798457288682,0.30918429087908916,35.9
UGC06786_rotmod.csv,10.920869536465556,191.562876916947,0.05707519758073991,211.0
UGC09992_rotmod.csv,8.856321863520222,29.336679427103196,0.12050810308261586,34.3
NGC3877_rotmod.csv,10.988720029639397,78.74398627602628,0.36022048736260015,169.0
NGC4100_rotmod.csv,10.839066806245073,165.20068527428714,0.024787249720155523,159.0
ESO563-G021_rotmod.csv,11.582716766189677,122.69969484029278,0.2865182879985998,312.0
DDO168.csv,8.694917782048629,28.320321031552744,0.5220883228776054,52.0
DDO154.csv,8.52723484948264,24.705437562873104,0.41434481311564714,45.5
NGC3972_rotmod.csv,10.282103509130758,56.38829393048308,0.4256312751088376,134.0
CamB.csv,7.298248771040352,11.862880733522537,0.9296728065355715,20.1
F571-V1_rotmod.csv,9.686032334861853,31.823866096802632,0.4018936049165417,83.9
NGC0801_rotmod.csv,11.613176906830036,178.947912586466,0.06063607735097789,216.0
ESO079-G014.csv,9.803070798676893,50.17280218205536,0.48142583973414893,178.0
F563-V2_rotmod.csv,9.862509483735368,53.09913722590693,0.3733195367323307,118.0
NGC6946_rotmod.csv,10.88806516864837,147.50885062734275,0.04949760334688918,154.0
F567-2_rotmod.csv,9.573285901172822,26.039848129094878,0.3213262857248784,52.2
UGC02953_rotmod.csv,11.442826155907126,259.0885157155485,0.0290156109845182,272.0
